Image Name,Image Class
dbba7b87-4a2f-41c1-83d0-99ece0d44fa2.png,3
4786a099-a72d-4fea-a57a-f8d7ae1b973b.png,3
f15d06c9-5a23-46a7-b8db-a1ebc14738a0.png,3
13d76e25-ad18-42b5-9bc7-ed7be5b9558b.png,0
8f55c104-2c40-42f2-95e7-fbfa6674e608.png,0
8570b0ee-db19-4f5a-aefd-0c4e4a430e82.png,3
1aad955e-999b-4d53-80ec-d9a497a23de9.png,2
47e1da74-332d-42a6-bd55-cc2b4bcee17d.png,0
3243ae5f-ef7c-4f92-949f-4b9cfae0f794.png,3
7347581d-37f3-44a5-852a-3f1e8e830406.png,0
466a6c4b-c3d4-4eea-96ee-e07249adcef6.png,0
a83e5971-5987-40db-8f4c-4279ddcdc12d.png,0
aa34d524-87ba-44aa-8e8f-98199cc25719.png,0
1805371a-897b-4ee0-ba4d-22d0a6e09e64.png,0
011fb876-891b-4455-b9e7-361a951f0816.png,1
b147060e-3e64-47eb-8c53-224ca1e50b47.png,0
e5449275-b109-4ef9-89d9-c1e964bbb68b.png,3
06fd0216-34aa-44df-af96-1fec778778ea.png,3
5a1ff8f6-0481-4e3d-a5b7-5ce40e7d881b.png,0
cc29be7e-06f2-4a93-bac2-0f1cd516bf1c.png,3
e08c92ed-c363-4983-b440-d73055155f4a.png,2
9559c58a-2e15-4685-aba9-f03895b3f1a4.png,1
bfc174a8-8bf5-473c-807d-e515ab78789e.png,1
39e2f02f-8459-410f-a8a1-208c2899792b.png,1
558624f5-34cc-4b5e-930c-0b0fa5a1f9f5.png,3
8990f60c-3741-4453-bb24-0a770441e60e.png,3
13841322-aaf0-48cc-a866-a00548dd53bb.png,3
97e6176b-a867-4f86-a475-e7a0b4995fef.png,3
2726489b-ea35-4c43-a28a-6ef9e69eff9a.png,0
efbe98be-6ac3-432b-8f34-76aa58838916.png,3
e631d21b-86f5-416e-82fb-e2f2766d5c80.png,3
027aa08a-ad27-4d32-b24e-0d964093b2dd.png,2
db22aeb9-b8dd-4097-a2ea-1b7580cbd2ef.png,1
c5673da2-3499-42bc-8f3a-880c6db2c6b7.png,3
9a656327-fbb2-450f-a7e0-1aebbed30114.png,0
5fb15950-948e-4db4-9789-fea84a9e2986.png,3
7da0499b-d9bb-4cbd-9c00-829abd19b489.png,3
53579db0-fbd7-46b7-8848-86d153b79dd4.png,1
a43fb082-9b02-4c41-ad3c-5fb2db03766b.png,1
57eb97c1-5d82-4b74-a53b-dacdcc364079.png,3
5cc76f5c-f896-4d97-a9f5-2103d405a20f.png,3
415fccff-cf14-4c05-88d5-516929793749.png,0
d2d9f95a-8614-4451-93b4-5a2b66635d23.png,2
7a261c2d-e283-4b8a-a9fb-2cf2a85c5706.png,3
e13853c9-5341-41de-9213-0072c080efcc.png,3
e922e83d-0ee9-418b-8410-a1c7ab35ce4f.png,2
15877903-dc80-49c4-b80e-48bb88dc38ed.png,0
de604fdf-10ba-4fc7-bc99-5ddd7b30de40.png,0
27661c17-437f-4d70-9c65-fec93f49c221.png,1
8037b713-0b46-4f6e-a40b-5d5a4b3e4011.png,0
5a4cc144-1383-4980-bad1-d32b303c925d.png,0
60e93d23-773e-4b83-826f-1e7418791c32.png,0
d04eda7e-3260-4311-ae53-c103da953b99.png,3
af34e92d-2f10-4be7-84e8-9b046be8ea6b.png,2
9c599ea9-bfaa-4724-a27b-605d4f94caf9.png,0
